iter	RMSE
0	473.2134047
1	443.2716276
2	424.5104136
3	412.4432914
4	404.9285922
5	399.6874971
6	396.0237339
7	393.3307866
8	391.0808469
9	389.8669375
10	388.4631451
11	387.4967215
12	386.6076449
13	385.6328525
14	384.5297985
15	383.7014738
16	383.0424072
17	382.1307473
18	381.3756417
19	380.7756213
20	380.4167002
21	380.027347
22	379.5284633
23	379.0283219
24	378.488686
25	378.0692555
26	377.6922041
27	377.2418012
28	376.637397
29	375.6521748
30	375.296107
31	374.9583409
32	374.3963062
33	373.8228552
34	373.5996064
35	373.3681578
36	372.0250384
37	371.4724448
38	371.253229
39	371.0047163
40	370.707428
41	370.4200712
42	370.1626369
43	369.3374865
44	368.7588065
45	368.3039635
46	367.5373048
47	367.2449128
48	366.7167892
49	366.3920234
50	366.0206514
51	365.4567069
52	365.187362
53	364.8631819
54	364.2713302
55	363.3940602
56	362.7659252
57	362.1621774
58	361.7504179
59	361.2142534
60	360.691119
61	360.2155454
62	359.8329227
63	359.4724943
64	359.1205232
65	358.4553978
66	358.1001786
67	357.7425859
68	357.4750837
69	357.077724
70	356.3408401
71	355.8996945
72	355.5468176
73	355.3672043
74	355.1334917
75	354.8458998
76	354.3772763
77	354.129798
78	353.6804591
79	353.3383084
80	352.9361157
81	352.5722202
82	352.2870776
83	352.0448725
84	351.9597903
85	351.7282547
86	351.5209511
87	350.9926203
88	350.7650284
89	350.3556738
90	350.1643264
91	349.9705204
92	349.6596932
93	349.2658701
94	349.0262574
95	348.6893622
96	348.4817768
97	348.3359154
98	347.9439297
99	347.491956
100	347.1710578
101	346.9080692
102	346.6170354
103	346.2300914
104	345.9121709
105	345.4012637
106	345.1103188
107	344.7089622
108	344.547787
109	344.208705
110	344.1034913
111	343.9249287
112	343.7693805
113	343.4800114
114	343.3162338
115	343.0881234
116	342.7287171
117	342.3483572
118	342.0537458
119	341.7909579
120	341.5486759
121	341.2893118
122	341.0720395
123	340.8622151
124	340.6956365
125	340.4350999
126	340.0836447
127	339.9119909
128	339.666362
129	339.4605102
130	339.2190618
131	338.9641409
132	338.8698904
133	338.5876089
134	338.3561359
135	338.1532334
136	337.7612182
137	337.644954
138	337.2951951
139	337.1185491
140	336.9889758
141	336.8724004
142	336.7898863
143	336.6285149
144	336.5022399
145	336.2683566
146	336.1366676
147	335.8914076
148	335.6294196
149	335.4089921
150	335.2153481
151	335.0049072
152	334.8612148
153	334.5287244
154	334.2193106
155	333.9130009
156	333.6710828
157	333.4938585
158	333.3582619
159	333.1634526
160	332.9441536
161	332.7742794
162	332.6231059
163	332.4160771
164	332.2590838
165	332.1282426
166	332.0139113
167	331.7936311
168	331.4427666
169	331.2666698
170	331.174306
171	330.9956955
172	330.8088002
173	330.6422592
174	330.4908115
175	330.2805195
176	330.02992
177	329.7940014
178	329.7071003
179	329.4630454
180	329.3093791
181	329.1076212
182	328.8281414
183	328.5341977
184	328.3440963
185	328.216957
186	328.1086849
187	327.9038111
188	327.6196544
189	327.3371293
190	327.2497859
191	326.9778269
192	326.7077767
193	326.5736797
194	326.4300133
195	326.3611739
196	326.1886286
197	326.0672857
198	325.9317737
199	325.7805461
200	325.6005022
201	325.4545966
202	325.1159504
203	324.8472699
204	324.7019478
205	324.5903837
206	324.5263603
207	324.3089543
208	324.0504157
209	323.7789602
210	323.5470013
211	323.4228889
212	323.2461299
213	323.1206075
214	322.6285307
215	322.467214
216	322.3699913
217	322.2538469
218	322.0647469
219	321.9350894
220	321.5343707
221	321.3600451
222	321.2753888
223	321.11043
224	320.9530406
225	320.7544471
226	320.4615952
227	320.3436169
228	320.0984149
229	319.9633916
230	319.8510149
231	319.70891
232	319.5759198
233	319.4047767
234	319.2840728
235	319.132688
236	318.9224432
237	318.7617121
238	318.6366827
239	318.4957285
240	318.3640191
241	318.3135442
242	318.1091144
243	317.9014171
244	317.6980412
245	317.5474085
246	317.3458515
247	317.1882161
248	317.0793448
249	316.9249184
