iter	Passed	Remaining
0	20	5207
1	34	4288
2	48	4030
3	62	3860
4	76	3744
5	87	3566
6	105	3666
7	117	3567
8	130	3501
9	148	3555
10	162	3534
11	176	3507
12	190	3468
13	203	3422
14	216	3389
15	232	3397
16	246	3377
17	264	3412
18	278	3388
19	291	3348
20	309	3379
21	324	3363
22	335	3308
23	353	3331
24	366	3294
25	379	3271
26	393	3252
27	405	3217
28	418	3189
29	433	3180
30	447	3162
31	460	3139
32	479	3151
33	494	3138
34	511	3142
35	525	3124
36	540	3110
37	551	3079
38	565	3059
39	579	3042
40	601	3067
41	613	3038
42	628	3023
43	654	3064
44	664	3028
45	683	3030
46	697	3012
47	710	2989
48	725	2975
49	739	2958
50	755	2946
51	772	2939
52	782	2909
53	798	2896
54	813	2884
55	827	2868
56	842	2854
57	857	2837
58	870	2818
59	881	2791
60	897	2779
61	909	2758
62	926	2750
63	941	2736
64	955	2720
65	976	2721
66	989	2701
67	1004	2687
68	1015	2664
69	1030	2650
70	1044	2632
71	1059	2618
72	1073	2603
73	1090	2593
74	1105	2578
75	1118	2561
76	1135	2550
77	1151	2538
78	1168	2529
79	1184	2517
80	1200	2505
81	1220	2500
82	1240	2495
83	1263	2496
84	1281	2487
85	1315	2508
86	1327	2486
87	1342	2471
88	1358	2458
89	1373	2441
90	1388	2426
91	1402	2409
92	1419	2395
93	1435	2381
94	1447	2361
95	1461	2344
96	1478	2332
97	1491	2313
98	1506	2297
99	1522	2283
100	1534	2264
101	1548	2246
102	1559	2225
103	1575	2211
104	1592	2199
105	1608	2184
106	1624	2170
107	1639	2155
108	1652	2137
109	1668	2123
110	1682	2106
111	1697	2090
112	1711	2074
113	1726	2060
114	1738	2041
115	1754	2026
116	1771	2013
117	1792	2005
118	1808	1990
119	1822	1974
120	1839	1960
121	1854	1945
122	1868	1928
123	1883	1913
124	1897	1897
125	1916	1885
126	1932	1871
127	1945	1854
128	1969	1847
129	1982	1829
130	1999	1815
131	2015	1801
132	2027	1783
133	2044	1770
134	2059	1754
135	2070	1735
136	2085	1719
137	2102	1706
138	2117	1691
139	2132	1675
140	2145	1658
141	2162	1644
142	2176	1628
143	2190	1612
144	2203	1595
145	2218	1580
146	2230	1563
147	2246	1548
148	2262	1533
149	2276	1517
150	2293	1503
151	2307	1488
152	2319	1470
153	2332	1454
154	2349	1439
155	2362	1423
156	2381	1410
157	2395	1394
158	2413	1381
159	2427	1365
160	2440	1349
161	2466	1339
162	2479	1323
163	2493	1307
164	2510	1293
165	2523	1277
166	2540	1262
167	2555	1247
168	2570	1231
169	2582	1215
170	2597	1199
171	2611	1184
172	2627	1169
173	2640	1153
174	2654	1137
175	2669	1122
176	2683	1106
177	2698	1091
178	2714	1076
179	2727	1060
180	2743	1045
181	2759	1030
182	2772	1014
183	2789	1000
184	2805	985
185	2819	970
186	2831	954
187	2845	938
188	2862	923
189	2878	908
190	2889	892
191	2905	877
192	2918	862
193	2932	846
194	2951	832
195	2966	817
196	2978	801
197	2990	785
198	3006	770
199	3019	754
200	3040	741
201	3053	725
202	3071	711
203	3089	696
204	3102	680
205	3125	667
206	3137	651
207	3152	636
208	3168	621
209	3184	606
210	3202	591
211	3216	576
212	3237	562
213	3270	550
214	3294	536
215	3306	520
216	3317	504
217	3334	489
218	3348	474
219	3366	459
220	3382	443
221	3399	428
222	3415	413
223	3429	398
224	3443	382
225	3458	367
226	3472	351
227	3485	336
228	3501	321
229	3513	305
230	3528	290
231	3542	274
232	3554	259
233	3568	243
234	3582	228
235	3597	213
236	3611	198
237	3625	182
238	3636	167
239	3653	152
240	3666	136
241	3680	121
242	3701	106
243	3719	91
244	3735	76
245	3750	60
246	3764	45
247	3782	30
248	3794	15
249	3807	0
