,sqfeet,beds,baths,income,density,rental,sale,ROI
0,3016.8107962861986,2,2,185559.34860233965,22443.23883985332,8788.02,1878085.9,213.709789008218
1,2853.9833364080714,3,1,17752.44667440711,19183.034546271036,2454.15,86239.44,35.14024815109101
2,4952.566254767418,1,1,29572.194097478205,8503.614827143436,6926.608095238096,201981.0,29.160159954604314
3,2266.5924468725298,2,2,185151.26758209246,14121.996776612777,8521.74,788457.2133333333,92.52303089901045
4,3231.1877230703894,2,2,170969.6362262455,14170.121645057183,8638.94,1431207.7,165.66936452851854
5,1614.977768921638,2,1,26795.164453337507,19251.601864652817,3747.279428571428,178653.56,47.6755372545324
6,2976.365864835455,2,2,180589.17527635559,13787.210715312802,8643.94,1495207.74,172.97757041349197
7,3232.5928470325284,2,2,210236.92725681688,22726.9695212144,8783.02,1814085.86,206.5446577600871
8,4854.447463210705,2,3,39932.710620379454,14263.994774824394,8008.0666666666675,312945.0,39.07872062337143
9,3997.8777714598464,7,2,24514.58362662478,11151.514086979125,7526.56,229948.0,30.55154014583023
10,4852.912539175185,2,3,40683.5331097597,14263.994774824394,7957.846666666667,312145.0,39.22480704579212
11,4880.559342285325,5,2,26113.811637731145,18908.013937670516,3602.7566666666676,170487.0,47.32126418011392
12,3105.2181563323993,5,1,19305.697214251075,18116.944950856196,2802.86,93609.43,33.397825792226506
13,4852.912539175185,2,2,25379.23311969526,18525.825870935303,3394.2527272727275,131772.0,38.822094460207865
14,3876.489132772133,3,2,24355.406177981553,18390.813428115074,3066.266060606061,111159.0,36.25223571695828
15,1596.652773722708,6,2,26234.244212013567,13125.345717095533,3136.29,117584.0,37.49143095823409
16,2794.5798748012767,4,1,12848.676238608747,18909.238823052438,2680.66,90699.44,33.83474219035611
17,4961.221601509179,2,1,26121.06180810377,18046.138771799142,3591.5593939393943,139116.0,38.73414991681675
18,3231.090436611777,1,1,209205.6308808204,13789.314120016243,8638.94,1431207.7,165.66936452851854
19,2976.365864835455,1,1,180589.17527635559,13787.210715312802,8643.94,1495207.74,172.97757041349197
20,2964.2694000243196,1,2,188427.68875835216,14251.87113699875,8643.94,1495207.74,172.97757041349197
21,3015.4095369188685,2,1,178149.21449353383,22411.62108752542,8788.02,1878085.9,213.709789008218
22,3172.7527078537105,2,2,212859.24225505706,14151.284900955083,8638.94,1431207.7,165.66936452851854
23,3232.5824354549354,1,1,219794.31401188276,13789.314120016243,8638.94,1431207.7,165.66936452851854
24,3016.6832128202977,1,1,180869.67160141145,22443.23883985332,8788.02,1878085.9,213.709789008218
25,3230.64742840612,1,1,219091.0247212742,13789.314120016243,8638.94,1431207.7,165.66936452851854
26,3232.7204207793716,1,1,176406.12725293334,14119.78982403246,8638.94,1431207.7,165.66936452851854
27,3199.4007272356093,1,1,221245.87202757236,13789.314120016243,8638.94,1431207.7,165.66936452851854
28,3235.848300527439,2,2,217985.00557515214,22717.139235561088,8783.02,1814085.86,206.5446577600871
29,3228.5076720529078,1,2,185151.26758209246,14121.996776612777,8638.94,1431207.7,165.66936452851854
30,3229.778183593237,2,1,225769.3465586255,22747.236534272222,8783.02,1814085.86,206.5446577600871
31,2976.365864835455,2,1,184617.5640927236,13787.210715312802,8643.94,1495207.74,172.97757041349197
32,3231.0995055844774,2,2,185559.34860233965,22726.276494641003,8783.02,1814085.86,206.5446577600871
33,3209.312073767046,2,1,186193.11669549305,13785.335199243473,8638.94,1431207.7,165.66936452851854
34,3026.4997956549028,1,2,226084.50943346779,22443.93186642672,8788.02,1878085.9,213.709789008218
35,2911.5194259673235,2,2,192322.5822081947,14210.615697179102,8643.94,1495207.74,172.97757041349197
36,2997.739524826591,2,2,188266.2558880515,13766.761939466316,8643.94,1495207.74,172.97757041349197
37,3235.82473843514,1,1,210207.45726053324,22724.776784875958,8783.02,1814085.86,206.5446577600871
38,3231.10084818937,2,2,213584.04510745459,13791.506856377859,8638.94,1431207.7,165.66936452851854
39,3238.3007849270684,2,1,173853.92586581365,13787.188991216384,8638.94,1431207.7,165.66936452851854
40,2957.9622000203162,1,2,189412.45013849257,13782.810665719617,8643.94,1495207.74,172.97757041349197
41,3186.355086534487,2,1,183095.00146838516,14119.78982403246,8638.94,1431207.7,165.66936452851854
42,3238.3007849270684,2,1,173820.07814187428,13787.188991216384,8638.94,1431207.7,165.66936452851854
43,3209.936206948651,1,2,186193.11669549305,13795.93860032195,8638.94,1431207.7,165.66936452851854
44,3016.8107962861986,2,2,175389.98035771502,22443.23883985332,8788.02,1878085.9,213.709789008218
45,2997.670970699381,2,1,184015.65170197768,13787.42411390979,8643.94,1495207.74,172.97757041349197
46,2999.8045943085253,2,2,173400.19217936374,13787.290646663489,8643.94,1495207.74,172.97757041349197
47,2967.038821165339,1,1,209090.81516529387,13787.188991216384,8643.94,1495207.74,172.97757041349197
48,3245.555792601946,1,2,226389.96992284912,22516.69073661727,8783.02,1814085.86,206.5446577600871
49,2976.365864835455,2,1,180589.17527635559,13787.210715312802,8643.94,1495207.74,172.97757041349197
50,3233.4383483086026,1,1,171707.74519183708,22676.23201417833,8783.02,1814085.86,206.5446577600871
51,3035.4793228955587,2,1,193867.86557234943,13796.227432466554,8643.94,1495207.74,172.97757041349197
52,3209.936206948651,1,1,186193.11669549305,13784.031668649424,8638.94,1431207.7,165.66936452851854
53,2992.9229757652333,2,2,215657.49163177607,13869.46156329769,8643.94,1495207.74,172.97757041349197
54,3228.5076720529078,2,2,185151.26758209246,14121.996776612777,8638.94,1431207.7,165.66936452851854
55,3228.5076720529078,2,2,185151.26758209246,14121.996776612777,8638.94,1431207.7,165.66936452851854
56,3188.361044508944,2,1,183095.00146838516,14119.78982403246,8638.94,1431207.7,165.66936452851854
57,2976.365864835455,2,1,180589.17527635559,13787.210715312802,8643.94,1495207.74,172.97757041349197
58,2992.3072312209542,2,1,185157.99106511602,22729.901513932447,8788.02,1878085.9,213.709789008218
59,3209.936206948651,1,2,185522.635737191,14145.703814470726,8638.94,1431207.7,165.66936452851854
60,3209.312073767046,2,2,186193.11669549305,13785.335199243473,8638.94,1431207.7,165.66936452851854
61,3209.312073767046,2,2,186193.11669549305,13785.29931377642,8638.94,1431207.7,165.66936452851854
62,3228.5076720529078,2,1,185151.26758209246,14121.996776612777,8638.94,1431207.7,165.66936452851854
63,3188.361044508944,2,2,171877.3545583235,14119.78982403246,8638.94,1431207.7,165.66936452851854
64,2992.3072312209542,2,1,185157.99106511602,22729.901513932447,8788.02,1878085.9,213.709789008218
65,2277.798468609834,1,1,205900.34317035752,13848.43427875968,8521.74,788457.2133333333,92.52303089901045
66,3228.5076720529078,2,2,185151.26758209246,14121.996776612777,8638.94,1431207.7,165.66936452851854
67,3035.4793228955587,2,1,194905.6771224972,13784.320500794029,8643.94,1495207.74,172.97757041349197
68,3231.10084818937,2,2,206598.662206507,22726.9695212144,8783.02,1814085.86,206.5446577600871
69,4852.912539175185,2,3,39932.710620379454,14263.994774824394,8008.0666666666675,312945.0,39.07872062337143
70,3106.031152536076,6,1,19305.697214251075,18116.944950856196,2802.86,93609.43,33.397825792226506
71,2794.5798748012767,4,1,12848.676238608747,18909.238823052438,2680.66,90699.44,33.83474219035611
72,3241.2120400058657,2,2,226084.50943346779,13784.456235748488,8638.94,1431207.7,165.66936452851854
73,2967.038821165339,1,1,185678.51253932875,13787.188991216384,8643.94,1495207.74,172.97757041349197
74,3010.0295852709173,1,1,194821.17983975363,13788.821820064784,8643.94,1495207.74,172.97757041349197
75,2962.99572412289,1,2,188427.68875835216,14220.253384665617,8643.94,1495207.74,172.97757041349197
76,3233.4383483086026,1,1,171707.74519183708,22676.23201417833,8783.02,1814085.86,206.5446577600871
77,2969.162252140833,2,2,215657.49163177607,13839.43219132465,8643.94,1495207.74,172.97757041349197
78,3209.312073767046,2,1,186193.11669549305,13785.29931377642,8638.94,1431207.7,165.66936452851854
79,2997.670970699381,2,1,184015.65170197768,13787.42411390979,8643.94,1495207.74,172.97757041349197
80,3231.10084818937,2,2,213584.04510745459,22726.9695212144,8783.02,1814085.86,206.5446577600871
81,3231.0995055844774,2,2,185559.34860233965,22726.276494641003,8783.02,1814085.86,206.5446577600871
82,3026.4997956549028,1,2,226084.50943346779,22443.93186642672,8788.02,1878085.9,213.709789008218
83,3010.0295852709173,1,2,195933.55481834087,13788.821820064784,8643.94,1495207.74,172.97757041349197
84,3238.3007849270684,1,1,185394.38449032354,13787.188991216384,8638.94,1431207.7,165.66936452851854
85,3038.844897638726,1,2,179723.82162759046,13782.810665719617,8643.94,1495207.74,172.97757041349197
86,2976.365864835455,2,1,180589.17527635559,13787.210715312802,8643.94,1495207.74,172.97757041349197
87,2957.9622000203162,1,2,179723.82162759046,13782.810665719617,8643.94,1495207.74,172.97757041349197
88,3016.6832128202977,2,1,180869.67160141145,22443.23883985332,8788.02,1878085.9,213.709789008218
89,3178.425241501982,2,1,223213.05253808052,22747.236534272222,8783.02,1814085.86,206.5446577600871
90,3014.020668561834,1,1,175797.29296671535,13787.188991216384,8643.94,1495207.74,172.97757041349197
91,2999.8045943085253,2,1,163640.04933879696,14060.794990028424,8643.94,1495207.74,172.97757041349197
92,3016.9600258246523,2,1,180426.3076806608,22443.23883985332,8788.02,1878085.9,213.709789008218
93,3240.511691948827,1,2,226389.96992284912,22516.69073661727,8783.02,1814085.86,206.5446577600871
94,3235.82473843514,1,1,210207.45726053324,13789.314120016243,8638.94,1431207.7,165.66936452851854
95,3037.9605941715686,2,1,208070.916662746,13784.320500794029,8643.94,1495207.74,172.97757041349197
96,3240.7885049531815,1,2,226084.50943346779,22726.9695212144,8783.02,1814085.86,206.5446577600871
97,3002.0064995575863,1,1,177906.0906141318,13788.798593638594,8643.94,1495207.74,172.97757041349197
98,3232.5824354549354,1,1,221245.87202757236,13789.314120016243,8638.94,1431207.7,165.66936452851854
99,3209.936206948651,1,1,186193.11669549305,13795.93860032195,8638.94,1431207.7,165.66936452851854
